id,name,created_time,link,message,likes,comments,shares
1688980774667861_2062686647297270,Paula's Choice Singapore's cover photo,2017-11-23T18:19:06+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709745469258058.1073741829.1688980774667861/2062686647297270/?type=3,"Special Bundles this Thanksgiving Weekend + $50 gift code* for every $175 spent! 

Valid in Stores & Online!

*Gift code sent after 72hrs",0,1,0
1688980774667861_2062686120630656,Paula's Choice Singapore's cover photo,2017-11-23T18:17:53+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709745469258058.1073741829.1688980774667861/2062686120630656/?type=3,,0,0,0
1688980774667861_2062073864025215,,2017-11-22T14:00:55+0000,,#ChitChatWednesday Not sure which retinol treatment is most suitable for your skin? Just let us know your skin type and we can easily choose the most ideal retinol treatment for you.,0,0,0
1688980774667861_2061519144080687,,2017-11-21T14:00:13+0000,,"#QuickTipTuesday Retinol combines beautifully with vitamin C to defend your skin against environmental assault. Vitamin C actually alsp helps retinol work better by stabilizing it and extending its effectiveness. Of course, you still need to apply a broad spectrum sunscreen rated SPF 30 or greater of them.",1,0,1
1688980774667861_2061040287461906,,2017-11-20T14:00:45+0000,,"#BeautyMythMonday ""Retinol exfoliates skin.""

It’s a popular misconception that retinol is an exfoliant. It isn’t. If you do experience flaking from using retinol, it may be that you’re using a retinol product that’s just too potent for your skin; switching to a lower strength could solve the problem. You can also try using the retinol treatment less frequently.",2,0,1
1688980774667861_2059366860962582,,2017-11-17T14:00:55+0000,,"#BeautyFactFriday Retinol helps promote a firmer, healthier-looking skin, and naturally turns around concerns like dullness and rough texture. With retinol, you’ll see renewed, younger-looking radiance, a remarkably smoother appearance, and a noticeable feeling of firmness.",2,0,1
1688980774667861_2058249831074285,,2017-11-15T14:01:13+0000,,#ChitChatWednesday Is your skincare routine ready to combat the signs of aging in skin? Share with us what you do to keep those fine lines and wrinkles away.,0,0,0
1688980774667861_2057833284449273,[GIVEAWAY OPEN] My Skin Story Ep 3 ~ How I Got Rid of Acne + Hyperpigmentation ft. Paula's Choice,2017-11-15T03:30:00+0000,https://www.youtube.com/watch?v=VbcMmVxWxa4&t=1s,"Trish Young is giving away S$125 of our gift cards to a pair of lucky winners! Watch her video to learn more about her journey with Paula's Choice products and how to win!

#Giveaway ends 30/11/17 so hurry!",12,0,2
1688980774667861_2057729511126317,,2017-11-14T14:01:21+0000,,"#QuickTipTuesday Choose a retinol product based on your skin type. Creams are generally best for dry skin, lotions for normal to combination skin, and serums or gels for oily or congested skin.",0,2,2
1688980774667861_2057316847834250,,2017-11-13T18:05:44+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2057315781167690/?type=3,"Congratulations Jessica Ee & Kevin Luo for winning our #giveaway!

Thank you everyone for participating, we will have more giveaways in the future :)",3,0,0
1688980774667861_2057217621177506,,2017-11-13T14:01:26+0000,,"#BeautyMythMonday ""You can’t use retinol during the daytime.""

It’s perfectly fine to use retinol products during the day, as long as you wear sunscreen over them. Research has shown that retinol works well under SPF-rated products, and it remains stable and effective under a broad spectrum sunscreen rated SPF 30 or greater.",2,0,1
1688980774667861_2056729337893001,,2017-11-12T14:01:05+0000,,#BeautyFact Unprotected sun exposure is one of the main causes of the appearance of fine lines and wrinkles. Daily application of a broad spectrum sunscreen rated SPF 30 or greater is a surefire way to reduce the risk of early signs of aging.,2,0,0
1688980774667861_2055469958018939,Timeline Photos,2017-11-10T02:00:17+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2055469958018939/?type=3,"#Giveaway!!! 11/11 is Singles' Day, and we wanted to give you and a friend a chance to win some stuff! Simply tag a friend, comment your favorite product and stand a chance to win an autographed book by Paula herself, and your favorite product! Your friend will get a $30 gift card to spend on Paulaschoice.sg too! 

Contest ends Sunday 12/11 11:59pm

P.S. Make sure you're signed up to our Mailing List to get a jump on our Singles' Day Special ;)",2,7,1
1688980774667861_2054634528102482,,2017-11-08T07:50:40+0000,,#ChitChatWednesday Not sure what to pair your retinol booster with? Let us know what other concerns you have and we would be glad to advise you!,1,0,0
1688980774667861_2054285788137356,,2017-11-07T14:00:07+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2054287554803846/?type=3,"#QuickTipTuesday If you’re new to using Retinol, start slowly. Mix it with your usual moisturizer or serum to see how your skin responds. Depending on the concentration of Retinol in your product, you can vary the frequency of use from daily to a few times per week.",0,0,1
1688980774667861_2053760071523261,Timeline Photos,2017-11-06T14:00:52+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2053760071523261/?type=3,"#BeautyMythMonday ""You can’t use retinol with a leave-on exfoliant.""

No research has ever demonstrated or concluded that alpha or beta hydroxy acid (AHA or BHA) exfoliants make retinol any less effective when used in the same skincare routine. It’s just one of those myths that gets repeated so often that people—even those we consider skincare experts—tend to believe it.",1,0,0
1688980774667861_2052764654956136,#MYSKINSTORY Personalized Skincare Regime ft. Paula's Choice || The Importance of Skin Education,2017-11-04T13:58:25+0000,https://www.youtube.com/watch?v=hYrY_jbfmRI&t=4s,"Beauty Blogger Trish Young dropped by our offices to experience our routine finder tool. She went home with a fully personalized set of products for a long-term, in-depth review. We can't wait to see what she comes up with. Follow her to keep up with her journey!",1,0,2
1688980774667861_2052246958341239,,2017-11-03T14:00:29+0000,,"#BeautyFactFriday All forms of retinol deteriorate when exposed to air and light so make sure you only buy retinol products packaged in airtight, opaque containers. Avoid jar packaging!",3,0,1
1688980774667861_2051055585127043,Timeline Photos,2017-11-01T08:10:28+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2051055585127043/?type=3,"#ChitChatWednesday Do you know how to include retinol in your skincare routine? If you want to receive a customized routine, comment ""yes"" on this post and our friendly advisers will be in touch with you.",1,2,1
1688980774667861_2050670821832186,How To Find The Best Face Masks For Your Skin,2017-10-31T14:00:05+0000,https://buff.ly/2xHOcKP,"#QuickTipTuesday Clay masks can provide temporary help due to their oil-absorbing properties, as long as they don't contain any harsh ingredients! Nothing scarier than facial irritation this Halloween! 

Find out more about what type of masks to use right here:",0,0,1
1688980774667861_2050481455184456,,2017-10-31T06:09:28+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709674802598458.1073741827.1688980774667861/2050481431851125/?type=3,"It's the last day to get & redeem your $15 gift code with your personalized skin care routine in 3 simple steps!

Paulaschoice.sg/discover",0,0,0
1688980774667861_2050159125216689,Timeline Photos,2017-10-30T14:01:26+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2050159125216689/?type=3,"#BeautyMythMonday ""My skincare product should make my skin feel less oily.""

Using products with drying or harsh ingredients may make your skin feel less oily, at least initially, but in the long run, using such ingredients only makes matters worse!",0,0,0
1688980774667861_2048658798700055,Timeline Photos,2017-10-27T14:01:05+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2048658798700055/?type=3,"#BeautyFactFridays Using a gentle, water-soluble cleanser would be best for oily skin. The cleanser should rinse without leaving a hint of residue or leave the skin irritated, tight, or dry. Irritation can trigger more oil production directly inside the pores.",0,0,0
1688980774667861_2048646308701304,"All About Exfoliants! | Beauty Couch October 26, 2017",2017-10-27T13:24:53+0000,https://youtu.be/1QM6yVKAFKQ,"On this week’s beauty couch, Desiree is joined with our newest content team member - Nicole who talks about her journey from being a non-skincare person to a fully-converted Paula's Choice lover! They also go through the differences between the texture, strengths, and types of our exfoliants.",0,0,1
1688980774667861_2048243992074869,How Our Skin Lighteners & Brighteners Work,2017-10-26T04:00:00+0000,https://www.facebook.com/paulaschoicesingapore/videos/2048243992074869/,"Our brighteners and lighteners contain proven ingredients like Vitamin C, Niacinamide, Hydroquinone, and Arbutin to help improve skin tone!",1,0,1
1688980774667861_2047105475522054,Timeline Photos,2017-10-24T14:01:18+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2047105475522054/?type=3,"#QuickTipTuesday To pick the right sunscreen for oily skin, look for lightweight sunscreens that dry down to a matte finish. You should also avoid formulas that are loaded with emollients like plant oils and fatty acids.",0,0,0
1688980774667861_2046615568904378,,2017-10-23T14:00:41+0000,,"#BeautyMythMondays ""Oily skin ages less than dry skin.""

How did we wish this was true. Oily skin may look less wrinkled because it is often less dry, but the cause of wrinkles is not something oily skin can stop or change.",0,0,1
1688980774667861_2046582015574400,Our New Perfect Cleansing Oil,2017-10-23T12:56:24+0000,https://www.facebook.com/paulaschoicesingapore/videos/2046582015574400/,"Our new skin-replenishing blend of 5 plant oils rapidly dissolves makeup and whisks away impurities - all while leaving skin soft and smooth, with no greasy residue. Double cleanse like a pro!",1,0,1
1688980774667861_2045139619051973,Resist Advanced 4% BHA Exfoliant,2017-10-20T15:23:13+0000,https://www.facebook.com/paulaschoicesingapore/videos/2045139619051973/,"BHA or Salicylic Acid is great for reducing clogged pores, blackheads, and diminishing wrinkles. It's a favorite for those with acne prone skin too. At Paula's Choice, we have a wide range of BHA products with different strengths and textures to suit your specific skin type and concerns!",2,0,1
1688980774667861_2045131292386139,,2017-10-20T14:01:53+0000,,"#BeautyFactFridays Oily skin is almost always the result of genetically determined changes in hormone concentrations in the body. This makes it difficult, but not impossible to control oily skin topically.",0,0,1
1688980774667861_2045035599062375,How To Treat Dehydrated Skin,2017-10-20T09:42:16+0000,http://advice.paulaschoice.sg/skin-care-concerns/dehydration/how-to-treat-dehydrated-skin/,"Having dehydrated skin is when the skin feels oily yet dry and tight at the same time. Find out what you need to do to tackle this pesky skincare issue and get that moist, dewy look you desire!",10,0,12
1688980774667861_2045029372396331,Paula's Choice Brand Story,2017-10-20T09:36:43+0000,https://www.facebook.com/paulaschoicesingapore/videos/2045029372396331/,,1,0,0
1688980774667861_2044183829147552,,2017-10-18T14:00:08+0000,,"#ChitChatWednesday ""Is this Paula's Choice product suitable for oily skin?""

If you are unsure whether the products you are using is suitable for oily skin, just drop us a comment below and we will get back to you :)",0,0,0
1688980774667861_2043701729195762,,2017-10-17T14:01:46+0000,,"#QuickTipTuesday Products that are overly thick and emollient can make oily skin worse. These thick and heavy products are likely to clog pores and add problems to the skin lining. If you have oily skin, it is better to use liquids, serums or gels.",2,0,1
1688980774667861_2043594845873117,"The Beauty Sleep Episode | Beauty Couch October 12, 2017",2017-10-17T09:43:01+0000,https://youtu.be/niuIUt9Imm4,"On this week’s beauty couch, we're joined by Liza, our new Senior Director of Content. She shares with us her skincare learning journey, and the interesting things she's found out! Desiree also shares some tips about our new Moisture Mist and Eye Gel.",2,0,1
1688980774667861_2043200285912573,Timeline Photos,2017-10-16T14:00:15+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2043200285912573/?type=3,"#BeautyMythMonday ""Sunscreens are oily and will make my oily skin worse!""

You can consider lightweight sunscreens (sheer or fluid lotions) that dry down to a matte finish. These are normally water-based sunscreens that do not feel ""oily"" after application.",0,0,1
1688980774667861_2041797702719498,Timeline Photos,2017-10-13T14:01:24+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2041797702719498/?type=3,"#BeautyFactFriday If too little oil is produced by the oil gland, it can be a problem too! A healthy amount of oil prevents dryness, preserving the skin's healthy microflara and maintains hydration.",1,0,1
1688980774667861_2041263839439551,Can Makeup Cause Acne? | Paula's Choice Singapore,2017-10-12T13:03:48+0000,https://youtu.be/iWgMYw4obEM,"Paula surprises us in this tip about makeup and acne! Makeup can trigger blemishes, but it doesn't cause acne. Breakouts due to makeup or skincare can be attributed to a number of things, such as irritation or an allergic reaction. The best way to find out for you is to experiment!",1,0,1
1688980774667861_2040840812815187,Timeline Photos,2017-10-11T14:00:44+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2040840812815187/?type=3,"#ChitChatWedneday ""I have oily skin! What should I do?"" 

Have any problems keeping your oily skin under control? We are here to help! Leave a comment below with any questions that you might have.",0,0,0
1688980774667861_2040368226195779,Timeline Photos,2017-10-10T14:01:26+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2040368226195779/?type=3,"#QuickTipTuesday Another way to check if you have oily skin is it the shiniest parts of your face have blackheads, white bumps or acne.",1,0,1
1688980774667861_2039891172910151,Timeline Photos,2017-10-09T14:01:42+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2039891172910151/?type=3,"#BeautyMythMonday ""My skin is shiny, I must have oily skin.""

This may not always be the case! If your is your skin is dry or flaky with a thin layer of oil on top, you may, in fact, have dehydrated skin! In this case, you would need to take a different set of steps to get your dehydrated skin under control.",3,0,1
1688980774667861_2038254613073807,Timeline Photos,2017-10-06T14:00:01+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2038254613073807/?type=3,#BeautyFactFridays Exfoliation is one of the most important skincare steps for oily skin. Using leave-on #exfoliants is the best way to reduce clogged pores and white bumps.,0,0,1
1688980774667861_2037084766524125,Timeline Photos,2017-10-04T14:01:31+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2037084766524125/?type=3,#QuickTipTuesday You can tell if you have oily skin if your face is shiny only an hour or two after cleansing and usually appears greasy by midday.,3,0,1
1688980774667861_2036985156534086,,2017-10-04T09:48:56+0000,,,1,0,0
1688980774667861_2036857223213546,Timeline Photos,2017-10-04T03:55:01+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2036857223213546/?type=3,#ChitChatWednesday Have any problems managing oily skin? Our expert advisers are here to help. Just leave a comment with your question :),0,0,0
1688980774667861_2036018739964061,Myths About Blackheads | Paula's Choice Singapore,2017-10-02T14:39:51+0000,https://youtu.be/dBGc-W6oNHE,"Paula shares the common myths and misconceptions about blackheads.

Blackheads are NOT dirt! They're basically clogged pores which are oxidized, so they can't be scrubbed away. Instead of a topical scrub, use BHA or Salicylic Acid which works by penetrating the pores and exfoliating from within - solving the root cause of the problem!",0,0,0
1688980774667861_2035997823299486,Timeline Photos,2017-10-02T14:01:01+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2035997823299486/?type=3,"#BeautyMythMondays ""If my skin feels drier, the cleanser is working!""

Drying and irritating ingredients can actually trigger more oil to be produced in the oil glands. Stay away from products that make your skin tingle!",2,0,1
1688980774667861_2034897216742880,What Does Glycolic Acid Do For Your Skin?,2017-09-30T14:23:13+0000,http://advice.paulaschoice.sg/skin-care-concerns/clogged-pores/glycolic-acid/,"Reduced acne, firmer skin and a radiant glow, this ingredient can give you the results you desire.",1,0,1
1688980774667861_2033811523518116,Mineral vs Synthetic Sunscreens: Which Is Best For Your Skin? | Paula's Choice Singapore,2017-09-28T13:15:51+0000,https://www.youtube.com/watch?v=1Hr7baqWzOU,"Synthetic versus Mineral sunscreen is a common question we regularly get. Here we answer which type of sunscreen is best for your skin!

Synthetic sunscreens are usually more lightweight and doesn't have that white cast that mineral sunscreens typically have. One downside is that synthetic sunscreens can be sensitizing so those with rosacea or eczema may want to consider a mineral sunscreen. 

Mineral sunscreens typically have white casts to them, but newer, more advanced options can reduce this dramatically. You can also add emollients to mineral sunscreens if you have drier skin, or layer it with a moisturizer too!",2,0,0
1688980774667861_2031122080453727,Timeline Photos,2017-09-23T08:04:01+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2031122080453727/?type=3,"#BeautyMyth ❤ Sunscreen does not cause cancer. In fact, there is a huge amount of research to show that regular use of sunscreen actually prevents cancer, prevents premature ageing of skin, reduces brown spots, improves wrinkles, and helps skin heal.",0,0,0
1688980774667861_2030203067212295,Why Does Our Skin Age? | Paula's Choice Singapore,2017-09-21T13:10:21+0000,https://www.youtube.com/watch?v=H635Ex0Lwl4,"In this #tbt Paula shares the major reasons and causes of skin aging! Sun damage. 

Fat depletion and movement. Bone loss. Hormone loss. Facial Movement. Genetics.",2,0,1
1688980774667861_2030071963892072,Timeline Photos,2017-09-21T08:00:51+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2030071963892072/?type=3,"#QuickTip 💥 The two types of UV rays that damage skin are UVA and UVB. UVA rays are far more damaging because they’re present all day long, year-round, and penetrate deeper into the skin than the shorter wavelength UVB rays. UVB rays are present with visible sunlight and can cause sunburn, while UVA rays promote tanning. #Sunscreens labelled as providing “broad-spectrum” protection should protect your skin from both UVA and UVB rays.",0,0,0
1688980774667861_2029649543934314,Allure Best of Beauty Base,2017-09-20T12:10:43+0000,https://www.facebook.com/paulaschoicesingapore/videos/2029649543934314/,"Our Primer Serum SPF 30 just received a coveted Allure beauty award for Best of Beauty Base!⠀
⠀
Unlike other #primers, ours protects you from the sun's harmful rays, #calms and #hydrates skin, while giving you that dewy matte finish. ⠀
⠀
Many of our customers #love it as a standalone #sunscreen for the daytime too!",3,0,1
1688980774667861_2029485380617397,Timeline Photos,2017-09-20T04:00:37+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2029485380617397/?type=3,#ChitChatWednesday Want to know if you skin brightening creams are effective❓ Just share the ingredient list with us here and we would be glad to provide you with more information.,1,0,1
1688980774667861_2028673887365213,How To Get Rid Of Hard Red Clogged Body Bumps | Paula's Choice Singapore,2017-09-18T12:31:59+0000,https://www.youtube.com/watch?v=TNcJQ0JEVEg,"Getting rid of your body bumps can be very easy. BHA works wonders on your face for acne, blackheads, clogged pores, but works just as well on your body for bumps, and uneven skin!",1,1,1
1688980774667861_2027623474136921,,2017-09-16T08:08:02+0000,,#BeautyFact ⏰ Synthetic sunscreen actives need to be applied 20 minutes before exposing your skin to daylight because they need time to “get situated” in the uppermost layers of skin before they can provide optimal protection.,0,0,1
1688980774667861_2026238937608708,Timeline Photos,2017-09-13T08:00:28+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2026238937608708/?type=3,#ChitChatWednesday Have any questions about your sunscreen? Just leave a comment here and we would be glad to answer them! 🌞,1,0,0
1688980774667861_2024331434466125,,2017-09-09T08:00:00+0000,,"#BeautyMyth Being indoors does not mean that your skin is protected from sun exposure! If you are sitting near the window, you need to take this into consideration when deciding how often to reapply your sunscreen 🏢",0,0,1
1688980774667861_2023452967887305,,2017-09-07T08:00:03+0000,,"#QuickTip Before you consider any other treatment for #SkinLightening, sunscreen is unconditionally the first and most practical step. This is because sun exposure is one of the primary and fundamental causes of hypermelanin production which is responsible for the brown spots on your skin. 🏖",1,0,0
1688980774667861_2021130104786258,,2017-09-02T09:50:00+0000,,"#BeautyFact ⛱ Although using a product rated SPF 15 is acceptable, the latest research suggests that higher SPF ratings are far more desirable because they provide better protection. Look for sunscreens rated SPF 30 or greater and consider layering SPF products for enhanced anti-aging protection.",1,0,0
1688980774667861_2020137141552221,,2017-08-31T08:00:06+0000,,#ChitChatWednesday Unsure whether your current skin care products contain irritating ingredients? Take a picture of the ingredient list and post it here. Our team would gladly help you out.,5,1,0
1688980774667861_2017851508447451,,2017-08-26T09:33:00+0000,,#BeautyMyth Having oily skin is not so much about the food you eat or your lifestyle and habits but the genes you inherit from your parents!,1,0,1
1688980774667861_2017394188493183,3 Easy Skin Pigmentation Treatment Methods,2017-08-25T07:25:18+0000,http://advice.paulaschoice.sg/skin-care-concerns/pigmentation/3-easy-skin-pigmentation-treatment-methods/,"In sunny Singapore ☀️, skin pigmentation can become a problem if you don't apply sunscreen diligently. Thankfully, you can use these skin pigmentation treatment methods to solve them easily!",7,0,1
1688980774667861_2016983731867562,,2017-08-24T08:00:41+0000,,"#QuickTip How exactly do you know if you have oily skin? Remove all the makeup and oil off your skin with a good cleanser so that your skin can start afresh. Wait for two hours. If your skin feels shiny and slick to the touch, you have oily skin!",0,0,1
1688980774667861_2016530068579595,Timeline Photos,2017-08-23T05:30:05+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2016530068579595/?type=3,"#Love yourself. Be yourself. The only standards we need to live up to is our own, not for anyone else! Remember that #skincare is ethnicity and gender agnostic. Choose products which suit your specific skin type and the concerns you have. The color of your skin does NOT matter!

https://buff.ly/2vXyx7S",1,0,1
1688980774667861_2015834875315781,Paula's Choice Singapore's cover photo,2017-08-21T13:56:21+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709745469258058.1073741829.1688980774667861/2015834875315781/?type=3,"Our brand new refreshing duo! Wake up your eyes with our lightweight anti-aging eye gel, and recharge instantly with our pomegranate-infused refreshing moisture mist!",2,0,1
1688980774667861_2014844258748176,,2017-08-19T09:24:00+0000,,"#BeautyFact Using products with drying or harsh ingredients may make your skin feel less oily initially, but in the long run, using such ingredients only makes matters worse.",0,0,1
1688980774667861_2014377448794857,Caring For Your Oily Skin,2017-08-18T08:00:38+0000,http://buff.ly/2uFRcXE,Caring for #oilyskin is actually quite simple! You just need to know what to use. #oilyskinproblems,1,0,1
1688980774667861_2013921435507125,,2017-08-17T08:00:27+0000,,#ChitChatWednesday What is the biggest problem you face when caring for your oily skin?,0,0,0
1688980774667861_2012545008978101,3 Steps To Diminish Blackheads,2017-08-14T09:00:14+0000,http://buff.ly/2ulF3Vb,Having trouble with stubborn blackheads? Here are three simple steps you can follow.,0,0,1
1688980774667861_2011588842407051,,2017-08-12T09:00:34+0000,,"#BeautyMyth Oily skin does not age less than dry skin. Oily skin may look less wrinkled because it is often less dry, but the cause of wrinkles is not something oily skin can stop or change.",2,0,1
1688980774667861_2011108855788383,Basic Skincare Tips for Kids,2017-08-11T08:00:46+0000,http://buff.ly/2uktQWs,"In this short article, learn some basic skin care tips for your kids!",0,0,1
1688980774667861_2010615555837713,,2017-08-10T08:03:07+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2010615052504430/?type=3,"Baby, it's warm outside☀️⛱️! Stock up on our summer skincare exclusives for Oily skin and receive a free Skin Balancing Mask (U.P $37) on us🎁 www.paulaschoice.sg.

Available online and in-stores. Promo ends 16 August. Redemption only valid for purchases of $200 worth of summer skincare exclusives.",0,0,0
1688980774667861_2010614639171138,,2017-08-10T08:00:06+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2010615892504346/?type=3,"#QuickTip Avoid harsh, drying ingredients because they actually trigger more oil! SD alcohol and denatured alcohol and fragrances are common culprits so try to stay away from them!",0,1,0
1688980774667861_2009268142639121,What Does Niacinamide Do For Skin?,2017-08-07T09:00:29+0000,http://buff.ly/2ulpv3O,This popular skin care ingredient will work wonders for your skin.,1,0,1
1688980774667861_2008344989398103,,2017-08-05T09:00:28+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2010616199170982/?type=3,"#BeautyFact Normal balanced oil flow from the pore does good things for skin. It relieves dryness, maintains a healthy skin surface, and keeps skin pliable.",0,0,1
1688980774667861_2007849639447638,Skin Care Tips For Oily Skin To Prep Your Summer Holiday,2017-08-04T08:00:08+0000,http://buff.ly/2ugukew,Going on a holiday soon? You may want to use these tips to care for your #oilyskin. #oilyskinproblems,1,0,1
1688980774667861_2007847729447829,Timeline Photos,2017-08-04T07:49:45+0000,https://www.facebook.com/paulaschoicesingapore/photos/a.1709986909233914.1073741830.1688980774667861/2007847729447829/?type=3,"Many people with #breakout-prone, #combination, or #oily skin believe that the tight sensation they feel after washing with soap means their #face is really #clean. The feeling associated with being squeaky clean is most likely an indication skin is being #irritated, dried-out, and stressed, which makes all skin problems worse.",2,0,1
