Title,Subject,List,"Send Date","Send Weekday","Total Recipients","Successful Deliveries","Soft Bounces","Hard Bounces","Total Bounces","Times Forwarded","Forwarded Opens","Unique Opens","Open Rate","Total Opens","Unique Clicks","Click Rate","Total Clicks",Unsubscribes,"Abuse Complaints","Times Liked on Facebook","Folder Id","Unique Id","Analytics ROI","Campaign Cost","Revenue Created",Visits,"New Visits",Pages/Visit,"Bounce Rate","Time on Site","Goal Conversion Rate","Per Visit Goal Value",Transactions,"Ecommerce Conversion Rate","Per Visit Value","Average Value"
"Advice 22072017","👨 5 Simple and Effective Skin Care Tips For Men","Latest News","22 Jul 2017 11:00 am",Saturday,2794,2793,1,0,1,0,0,613,21.95%,973,77,2.76%,87,5,0,0,0,4c7548b411,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Summer Sunscreen","Let The Sun Shine 🌞","Paula's Choice Subscribers","17 Jul 2017 9:34 pm",Monday,6958,6938,11,9,20,0,0,2040,29.40%,3235,244,3.52%,341,45,0,0,0,45aa7fa002,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
"Advice 14072017","😳 The Ultimate Guide To Skincare For Sensitive Skin ","Latest News","15 Jul 2017 11:00 am",Saturday,2803,2801,1,1,2,0,0,693,24.74%,1080,108,3.86%,124,10,0,0,0,08b142f5b7,0.00%,$2.38,$0.00,2,0,2.5,50.00%,00:08,0.00%,$0.00,0,0.00%,$0.00,$0.00
"Advice 07072017","What Causes Acne Breakouts❓","Latest News","08 Jul 2017 10:00 am",Saturday,2813,2809,2,2,4,0,0,729,25.95%,1161,189,6.73%,200,9,0,0,0,cf0d81cdb1,"20,848.20%",$2.38,$497.00,265,70,3.5849056603774,64.91%,01:50,0.00%,$0.00,0,0.00%,$1.88,$0.00
"Advice 1662017","Origins of Paula's Choice","Latest News","16 Jun 2017 1:00 pm",Friday,2827,2825,2,0,2,0,0,758,26.83%,1204,63,2.23%,68,14,0,0,0,725d0cb4ed,"4,841.88%",$2.40,$116.00,122,13,7.6803278688525,43.44%,04:06,0.00%,$0.00,0,0.00%,$0.95,$0.00
"Paula's Choice 22nd Anniversary","Come Celebrate Our Birthday. You Don't Want To Miss This Anniversary! 🎁🎊","Paula's Choice Subscribers","15 Jun 2017 10:39 am",Thursday,6667,6650,9,8,17,0,0,1963,29.52%,3767,184,2.77%,300,29,0,0,0,c20e4bfd06,"112,920.35%",$5.65,"$6,380.00",590,142,15.783050847458,1.69%,06:57,0.00%,$0.00,0,0.00%,$10.81,$0.00
"Advice 09062017","👙 How To Get Rid Of Back Acne Quickly!","Latest News","10 Jun 2017 11:00 am",Saturday,2833,2830,3,0,3,0,0,614,21.70%,1000,128,4.52%,140,8,0,0,0,b1f2f0299f,0.00%,$2.40,$0.00,165,58,1.7030303030303,82.42%,00:42,0.00%,$0.00,0,0.00%,$0.00,$0.00
"Advice 02062017","👃 How To Remove Blackheads On Your Nose","Latest News","03 Jun 2017 11:00 am",Saturday,2840,2836,2,2,4,0,0,861,30.36%,1562,314,11.07%,349,9,0,0,0,8105c8fa07,"34,236.62%",$2.41,$824.00,471,155,3.1422505307856,67.30%,01:56,0.00%,$0.00,0,0.00%,$1.75,$0.00
"Advice 19052017","💢 How To Really Get Firmer Skin","Latest News","20 May 2017 10:00 am",Saturday,2849,2845,3,1,4,0,0,768,26.99%,1335,228,8.01%,277,11,0,0,0,991221f0bc,"14,123.55%",$2.41,$341.00,368,107,2.8586956521739,73.37%,01:50,0.00%,$0.00,0,0.00%,$0.93,$0.00
"Advice 12052017","😁 How to minimize large facial pores","Latest News","13 May 2017 11:00 am",Saturday,2848,2845,2,1,3,0,0,882,31.00%,1660,328,11.53%,370,5,0,0,0,a4a92160ba,"9,488.06%",$2.41,$229.00,552,243,3.2898550724638,18.84%,02:24,0.00%,$0.00,0,0.00%,$0.41,$0.00
"Mother's Day Special","Mother's Day Special 💖","Paula's Choice Subscribers","06 May 2017 1:31 am",Saturday,6350,6329,7,14,21,0,0,1659,26.21%,2834,208,3.29%,274,29,0,0,0,8ebc793082,"16,427.09%",$5.38,$884.00,365,75,9.4684931506849,0.55%,03:31,0.00%,$0.00,0,0.00%,$2.42,$0.00
"Advice 28042017","😮 Myths about the side effects of hydroquinone cream","Latest News","28 Apr 2017 6:00 pm",Friday,2847,2846,1,0,1,0,0,866,30.43%,1511,169,5.94%,178,14,0,0,0,00e5b58b66,"8,952.58%",$2.41,$216.00,310,62,4.9645161290323,14.84%,03:07,0.00%,$0.00,0,0.00%,$0.70,$0.00
"Advice 22042017","How to treat dehydrated skin","Latest News","22 Apr 2017 9:00 pm",Saturday,2846,2844,1,1,2,0,0,842,29.61%,1603,251,8.83%,275,11,0,0,0,1627e761b0,"20,171.12%",$2.41,$486.50,424,87,3.5212264150943,20.52%,02:25,0.00%,$0.00,0,0.00%,$1.15,$0.00
"Easter Weekend Surprise","Easter Weekend Surprise 🐰","Paula's Choice Subscribers","15 Apr 2017 1:28 pm",Saturday,6179,6173,5,1,6,0,0,1662,26.92%,3380,542,8.78%,701,31,0,0,0,b8a56be848,"70,916.49%",$5.24,"$3,713.50",1141,250,8.7992988606486,3.51%,03:44,0.00%,$0.00,0,0.00%,$3.25,$0.00
"Resist Omega+ Complex","New Resist Omega+ Complex Superfood For Your Skin","Paula's Choice Subscribers","12 Apr 2017 2:32 pm",Wednesday,6167,6157,7,3,10,0,0,1381,22.43%,2494,190,3.09%,237,13,0,0,0,4e24dba81b,"18,244.37%",$5.23,$953.50,292,63,8.972602739726,2.05%,04:27,0.00%,$0.00,0,0.00%,$3.27,$0.00
"Advice 17032017","Pregnancy and Skincare: A Guide For Moms-To-Be","Latest News","18 Mar 2017 8:00 pm",Saturday,2816,2814,2,0,2,0,0,819,29.10%,1416,85,3.02%,104,16,0,0,0,da1e04b3c6,"3,813.21%",$2.39,$91.00,139,43,4.1294964028777,17.27%,02:41,0.00%,$0.00,0,0.00%,$0.65,$0.00
"Gentle Body Care Special","Only The Best Ingredients For Your Body","Paula's Choice Subscribers","18 Mar 2017 11:00 am",Saturday,5865,5856,6,3,9,0,0,1331,22.73%,2528,126,2.15%,165,27,2,0,0,5e8f5a9bb4,"8,922.93%",$4.97,$443.50,223,56,8.8430493273543,6.28%,03:44,0.00%,$0.00,0,0.00%,$1.99,$0.00
"International Women's Day","A Treat For Our Beloved Ladies","Paula's Choice Subscribers","07 Mar 2017 1:16 pm",Tuesday,5842,5820,3,19,22,0,0,1599,27.47%,3081,388,6.67%,559,31,0,0,0,e1ecab9a79,"42,618.97%",$4.95,"$2,110.00",790,174,10.445569620253,3.80%,04:18,0.00%,$0.00,0,0.00%,$2.67,$0.00
"Advice 04032017","Don't be kept in the dark, the truth about dark eye circles","Latest News","04 Mar 2017 8:00 pm",Saturday,2823,2817,4,2,6,0,0,816,28.97%,1667,238,8.45%,267,17,1,0,0,f9d869e379,"8,485.30%",$2.39,$203.00,425,110,5.32,15.29%,03:02,0.00%,$0.00,0,0.00%,$0.48,$0.00
"Valentines Day","Show That Love Is In The Air-Less","Paula's Choice Subscribers","10 Feb 2017 11:15 am",Friday,5648,5626,16,6,22,0,0,1565,27.82%,2852,256,4.55%,349,25,1,0,0,fb03aec9ec,"45,879.60%",$4.79,"$2,196.00",520,116,8.7807692307692,5.00%,03:18,0.00%,$0.00,0,0.00%,$4.22,$0.00
"Advice 04022017","Begone, Neck Wrinkles","Latest News","04 Feb 2017 9:00 pm",Saturday,2795,2788,6,1,7,0,0,775,27.80%,1429,200,7.17%,223,10,0,0,0,e988763d22,"22,945.62%",$2.37,$543.50,354,85,4.2203389830508,13.56%,02:28,0.00%,$0.00,0,0.00%,$1.54,$0.00
"Advice 20012017","Antioxidants, The Superfood For Your Skin","Latest News","20 Jan 2017 10:45 pm",Friday,2782,2775,6,1,7,0,0,949,34.20%,1852,184,6.63%,200,19,1,0,0,efd29e7bae,"36,074.41%",$2.36,$850.50,358,87,6.6340782122905,17.04%,03:52,0.00%,$0.00,0,0.00%,$2.38,$0.00
"Chinese New Year","Usher In The Year Of The Rooster With A Boost","Paula's Choice Subscribers","19 Jan 2017 5:35 pm",Thursday,5436,5421,14,1,15,0,0,1821,33.59%,3512,260,4.80%,386,34,0,0,0,7154038f21,"76,886.68%",$4.61,"$3,542.00",571,113,11.721541155867,3.50%,05:06,0.00%,$0.00,0,0.00%,$6.20,$0.00
"Kelly Booster","Favourite Boosters For Your Top 5 Skincare Concerns","Paula's Choice Subscribers","13 Jan 2017 7:12 pm",Friday,5373,5345,13,15,28,0,0,1424,26.64%,2775,189,3.54%,291,19,0,0,0,d46080b035,"5,896.71%",$4.55,$268.50,322,83,9.2080745341615,7.14%,04:00,0.00%,$0.00,0,0.00%,$0.83,$0.00
"Advice 06012017","Top 5 Skincare Boosters To Have In Your Skincare Routine","Latest News","06 Jan 2017 4:30 pm",Friday,2771,2760,5,6,11,0,0,861,31.20%,1863,275,9.96%,321,17,0,0,6261,e6a836d0fe,"32,491.52%",$2.35,$763.00,621,165,5.645732689211,22.06%,03:36,0.00%,$0.00,0,0.00%,$1.23,$0.00
"Christmas Holiday","Paula's Choice All-Time Skincare Favourites At Festive Prices","Paula's Choice Subscribers","15 Dec 2016 4:35 pm",Thursday,4940,4922,15,3,18,0,0,1436,29.18%,3272,437,8.88%,621,43,0,0,0,370b10674e,"83,436.03%",$4.19,"$3,493.00",1027,243,9.5783836416748,1.17%,04:22,0.10%,$0.00,0,0.00%,$3.40,$0.00
"Site Migration","A Brand New Site Coming Your Way","Paula's Choice Subscribers","02 Dec 2016 4:05 pm",Friday,4845,4774,15,56,71,0,0,1829,38.31%,3921,270,5.66%,324,49,1,0,0,a43a86cf39,"41,184.31%",$4.11,"$1,691.00",553,128,9.3273056057866,21.88%,04:58,0.00%,$0.00,0,0.00%,$3.06,$0.00
"Cyber Weekend","Cyber Weekend Limited Edition Brightening Collection","Latest News","25 Nov 2016 11:45 pm",Friday,2578,2565,6,7,13,0,0,999,38.95%,1986,145,5.65%,191,17,0,0,0,05fa6888ef,"56,588.74%",$2.18,"$1,236.32",264,52,6.7159090909091,40.91%,04:58,3.79%,$0.00,0,0.00%,$4.68,$0.00
"Black Friday Special","Black Friday Special | Paula's Choice Singapore Retail","Latest News","23 Nov 2016 5:30 pm",Wednesday,2574,2553,10,11,21,0,0,1306,51.16%,2775,294,11.52%,396,10,0,0,0,945d0f5e19,"45,267.72%",$2.18,$987.45,476,149,5.8487394957983,36.13%,03:33,1.26%,$0.00,0,0.00%,$2.07,$0.00
"999 International Shipping Event (3 Days Left)","Free International Shipping Event (3 Days Left)","Overseas Customers","26 Sep 2016 3:50 pm",Monday,365,365,0,0,0,0,0,138,37.81%,270,19,5.21%,35,2,0,0,0,571cb9aef3,"576,428.38%",$0.31,"$1,783.02",37,10,18.891891891892,10.81%,14:52,21.62%,$0.00,0,0.00%,$48.19,$0.00
"999 International Shipping Event","Paula's Choice Monthly Newsletter | Promotional International Rates Now Here","Overseas Customers","09 Sep 2016 6:01 pm",Friday,361,358,0,3,3,0,0,141,39.39%,365,32,8.94%,53,4,0,0,0,52bfb7a61d,"263,457.06%",$0.31,$806.00,87,17,12.034482758621,16.09%,010:51,2.30%,$0.00,0,0.00%,$9.26,$0.00
"National Day","Free Exfoliant This 51st Birthday","Latest News","09 Aug 2016 12:00 am",Tuesday,1858,1844,8,6,14,0,0,900,48.81%,1837,167,9.06%,241,10,1,0,0,ce653347a1,"141,671.77%",$1.57,"$2,230.73",353,72,9.0396600566572,35.69%,06:55,4.25%,$0.00,0,0.00%,$6.32,$0.00
"Resist 10% Niacinamide Booster","Try NEW 10% Niacinamide Booster Today","Latest News","15 Jul 2016 2:25 pm",Friday,1670,1657,7,6,13,0,0,669,40.37%,1339,108,6.52%,145,9,1,0,0,b7a4fc2295,"45,868.79%",$1.42,$649.16,226,52,4.5663716814159,50.88%,03:26,0.88%,$0.00,0,0.00%,$2.87,$0.00
"Paula's Choice Anniversary Sale (Ends Tomorrow)","Anniversary Sale Event Just Got Bigger| Up to 25% OFF","Latest News","21 Jun 2016 1:50 pm",Tuesday,1458,1451,6,1,7,0,0,749,51.62%,1570,282,19.43%,372,10,0,0,0,21f91c060d,"198,346.83%",$1.24,"$2,450.76",537,116,7.3463687150838,37.06%,04:29,3.17%,$0.00,0,0.00%,$4.56,$0.00
"Paula's Choice Anniversary Sale","Anniversary Sale Event | Up to 25% OFF","Latest News","16 Jun 2016 1:09 pm",Thursday,1414,1397,6,11,17,0,0,718,51.40%,1840,333,23.84%,485,10,0,0,0,d7cf2d785f,"268,543.47%",$1.20,"$3,217.97",646,224,9.0866873065015,34.83%,06:40,4.02%,$0.00,0,0.00%,$4.98,$0.00
