product_handle,state,rating,title,author,location,body,reply,created_at,replied_at
resist-foaming-cleanser,published,5,effective cleanser,Zincky,,"I have combination skin, it balances my skin very well, pores become smaller, skin does not feel dry or tight afterwards. I have used for 2 months and very statisfied,it is effective as what it introduces, will order it again!",,2016-12-22 17:45:03 UTC,
skin-perfecting-2-bha-gel,published,5,excellent product,Zincky,,"Skin texture becomes smoother, blackheads, acne and pimples obviously reduce a lot after using it a month. Skin tone is also even and brighter than before especially the dark circle! I will persist to use it!",,2016-12-22 18:12:52 UTC,
hydralight-moisture-infusing-lotion,published,5,great for combination skin,Zincky,,It solves my desquamated cheek and oily t-zone is getting better. Feel comfortable after apply. And the dry lines around my eyes disappear!,,2016-12-22 18:53:28 UTC,
resist-hyaluronic-acid-booster,published,4,SECOND BOTTLE,GL,,I mix this with c-booster and niacinamide booster as a night serum after exfoliant. Works well for me as I don't need a moisturiser. I have combination skin and sleeps with the air-con on. ,,2016-12-24 15:28:20 UTC,
resist-whitening-essence,published,4,HYDRATING AND CLARIFYING,GL,,So I tried the sample size over 3 days of application twice a day after exfoliant. I find this very hydrating and has a clarifying effect especially after applying it over night. I haven't try the brightening mask would love to make a comparison. ,,2016-12-24 15:35:37 UTC,
resist-intensive-wrinkle-repair-retinol-serum,published,4,Favourite nighttime serum,Dhmnj,,"This is my second bottle. I have been using this in combination with other PC products, and it has made a huge improvement to my skin. Frown lines on my forehead are gone. There are less fine lines around my eyes and nose. A large dark spot on my cheek that i had been struggling to get rid of for years has lightened so much that i cant believe it was ever there! PC products are the best. This serum feels a little oily on the fingers. But once spread on the face, the serum sinks in quickly. I only use this at night. During the day i use a non-retinol serum.",,2016-12-24 15:51:34 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,Effective,Lincy36,," It is effective and mild at the same time. Skin feels smoother, more radiant and fresh. Less prone to breakouts. Love It!",,2016-12-25 09:25:17 UTC,
resist-daily-pore-refining-treatment-with-2-bha,published,5,Good and Effective,Lincy36,,"Light weight and effective on acne prone skin, minimize pores and skin felt smooth and great",,2016-12-25 09:31:39 UTC,
resist-weightless-toner,published,5,Great toner,Audrey,,"Have been using this for 1 yr. Easy to apply on, quick to absorb and makes a good base for other products to be applied after. Works great for me.",,2016-12-27 16:05:46 UTC,
resist-daily-pore-refining-treatment-with-2-bha,published,5,Works great,Audrey,,Good for breakout prone skin. No irritation. My pores are less obvious now. Highly recommeded.,,2016-12-27 16:10:00 UTC,
resist-ultra-light-super-antioxidant-concentrate-serum,published,5,Works great,Audrey,,A very good serum that does not cause breakouts. Use it with vit C. Quite watery consistency but quick absorption. Highly recommended.,,2016-12-27 16:17:49 UTC,
clear-regular-strength-daily-skin-clearing-treatment,published,5,This always works! My holy grail for Pimps,Yan,,"This always works on my zits, red bumps or those with heads. Usually, after applying after once or twice on headless red bump, the whitehead will be ripen and it is ready for extraction. Do note that this can may dry peeling skin (if you apply too frequent) so may sure you apply moisturiser or serum on that area before you apply this. Just a dab of this will do and remember to apply sunscreen if you are using in the day.",,2016-12-28 08:16:36 UTC,
resist-body-oil-spray,published,4,Very Mositurizing ,GL ,,This works very well with the 10% AHA Body Exfoliant. Absorbs well and leaves my skin well moisturised. Be careful it may easily transfer to other surfaces after application as it is oil.,,2016-12-28 12:03:40 UTC,
resist-c15-super-booster,published,5,All the Vitamin C you ever need,Audrey,,Purchased the full size bottle after trying out the trial size one. Easy to apply on when mix with serum. only a few drops are needed to feel wonders on my dull skin. Just be careful when handling the dropper. Will recommend to others. Thanks PC!,,2016-12-29 13:35:29 UTC,
resist-c15-super-booster,published,4,Great for acne pigmentation!,Jacquelyn,,"I've been using this product for about 2 months now and i've really noticed a difference in my acne pigmentation! The only reason that i gave it a 4 instead of a 5 star is because it can be a little irritating for those with sensitive skin, so i use it on and off now.",,2017-01-05 02:25:31 UTC,
calmness-relief-serum,published,3,Underwhelming,Wei,,Leaves a sheen on my face despite being fully absorbed. My face tingles a little if I don't follow up with a moisturiser immediately. Does not appear to help much with calming down my irritated skin too.,,2017-01-13 01:11:15 UTC,
resist-weightless-toner,published,5,One of the best!,YuanJing ,,"Firstly I am a guy who have been using this for 2 years now and as Paula said in her book, a great toner is one which moisturize and replenish skin with conditioning and repairing ingredients. 

I think this toner has all of that. I've been struggling with acne and this helps me to get clear skin when used in conjunction with the bha 2% liquid. Most importantly, this does not irritate my skin and helps keep my skin moist.",,2017-01-14 04:43:12 UTC,
skin-balancing-invisible-finish-moisture-gel,published,5,Wonderful moisturizer for oily skin,CHEW,," absorbs quickly, and seems to help to reduce my oiliness and keep my makeup fresh",,2017-01-23 14:24:47 UTC,
skin-perfecting-2-bha-lotion,published,4,Great exfolliator,CHEW,,"i love this lotion instead of liquid, this lotion more moisture.",,2017-01-23 14:27:46 UTC,
resist-anti-aging-eye-cream,published,4,Anti-ageing cream works totally,Gh,,I borrowed this product from my friend and I found that this product is really good! The Shea Butter and Peptides in the product makes it irresistibly to keep you from having wrinkles! ,,2017-01-25 03:12:06 UTC,
calm-redness-relief-moisturizer-normal-to-oily,published,5,Good,WanPing,,I've been using this moisturiser for about 4 to 5months. I only used it every morning and it shows great improvement on my skin. No breakout or any irritation. I have combination skin so I used the oily one in the morning and the dry one in the night.,,2017-01-31 15:34:41 UTC,
resist-whitening-essence,published,4,Good product,karen,,"Excited on the new products and bought some samples to try before the full size. Blend in well , easy to use and notice complexion seems to be smoother next morning. will continue to use.........
would love to try the new mask but too bad no samples size . I wish there are cos other locations have it...........
",,2017-02-27 04:02:05 UTC,
clear-extra-strength-anti-redness-exfoliating-solution,published,5,Effective ,H.S.W.,,"Clear, Extra Strength BHA is a bit greasy than the Regular Strength. My boy's acne has clear up! Fast! And it's worked. I will repurchase another bottle for him.",,2017-03-05 07:36:34 UTC,
clear-regular-strength-acne-kit,published,5,happy,zara,,"this is by far the best acne kit i ever had.its a repeated purchase.i had adult acne for the past one year and got recommended to this and i was beyond satisfied!!i do have dry face after washing,oily in the day and acne prone.ever since using this,my acne have gone down ALOT and i dont get acne anymore.i only get pimples ard the time of the month but will subside after 1day of using the daily treatment cream.not gonna turn to other products .i see myself using this kit for a long run!..:)hope it will not be discontinued or i'll be saddest person in the world!",,2017-03-14 12:43:56 UTC,
calm-redness-relief-spf-30-moisturizer-normal-to-oily,published,4,works fine for me,zara,,"i had dry face after washing,oily in the day.eventho after putting on,it appears to be abit only but have a healthy 'glow' to it.i stick to it cause it doesnt cause any breakouts!im fine with blotting my face once a day rather than twice last time.its definitely controlling my oils.:)",,2017-03-14 12:50:19 UTC,
moisture-boost-hydrating-treatment-cream,published,1,Good ingredients but causes breakout,Mari,,"I have a family member going to Europe on winter so I got this cream for her. The ingredient list is perfect, with all the right stuff, but for some reason, this caused bumps to break out on her skin. I tried getting my mum to use this instead, but she also had a huge pimple 3 days after using this. Both of them have usually ""sturdy"" skin that never really break out, but for some reason this cream made them so.
I'm not sure what's wrong with this product, as the ingredients seem theoretically good, but I would not be repurchasing as it is not suitable to our skin.",,2017-04-30 14:25:28 UTC,
resist-intensive-repair-cream,published,4,Very Good,GL,,This is great as a eye cream. My mum has dry skin and it is absorbed very fast to provide instant hydration. Skin looks more well rested after using it.,,2017-05-20 04:08:21 UTC,
resist-daily-pore-refining-treatment-with-2-bha,published,2,Doesn't do anything,E,,Feels weightless and non-sticky compared to the skin-perfecting 2% BHA liquid but doesn't have any visible effect on my pores or skin. Will return to my usual BHA liquid instead.,,2017-05-26 17:53:42 UTC,
skin-balancing-oil-reducing-cleanser,published,3,Okay Cleanser,E,,I have very oily skin and this cream cleanser just didn't do it for me. The Hydralight one-step facial cleanser which is a gel type cleanser worked way better.,,2017-05-26 17:54:55 UTC,
calm-redness-relief-cleanser-normal-to-dry,published,3,Nice product but packaging not so good for travelling,Taylor,,"I did like this product, from the little amount that was left in the bottle after I opened my toiletry bag and found it had leaked everywhere! It was brand new! Luckily I managed to salvage a small amount and liked the product, hence buying again to try it out again.

Warning: The bottle leaks when it is laid on its side so not good for travelling. Best to empty into travel size bottles to avoid wastage.

 ",,2017-06-04 08:54:36 UTC,
resist-anti-aging-eye-cream,published,4,Great Texture and works well with make up,Mei,,Many eye creams outside are too rich and causes milia seeds. This is a great eye cream which moisturises without bring too rich or thick. It also works very well under makeup.,,2017-06-18 12:22:38 UTC,
pc4men-daytime-protect-spf30,published,4,Good oil control and light,Benjamin,,Bought the 15ml bottle and gave it a shot.  Impressed by the oil control and lightness of the sunscreen where most of the sunscreen I tried either gave you a white cast or is so oily/shiny after application and onto the day.  WIll definitely buy again soon.,,2017-06-22 06:51:13 UTC,
skin-balancing-ultra-sheer-daily-defense-spf-30,published,5,Oily and acne prone skin will love this!,Raine,,My skin will be super greasy a few hours just after make up. Most of the moisturizer + sunscreen i have used are often sticky and tends to break me out. This is the best i have found! No oily or sticky residue after application. And controls oil pretty well for up to 6-7 hours which i only have to blot off oil only once a day at work instead of multiple times! So glad i found this! ,,2017-06-26 01:45:08 UTC,
resist-whitening-essence,published,5,Gentle and Effective,RR,,Suitable for twice daily use. The texture is very smooth!,,2017-07-16 05:54:50 UTC,
skin-balancing-oil-reducing-cleanser,published,5,Stopped my breakouts,Jo,,"Using products from a dermatologist was very effective but got costly after a while. Each time when i switched out to another brand, i had bad breakouts. I found this product and was so relieved to find that it suited my combination skin so well. Skin is indeed soft yet cleansed with no tight feeling (just as it says). Been through 3 bottles so far and have not looked back. No more breakouts and it has been keeping my skin quite balanced and ready for other treatments. ",,2017-09-10 14:30:22 UTC,
clear-extra-strength-anti-redness-exfoliating-solution,published,5,It really works. No kidding.,J,,"Been struggling with outbreaks for a long time due to oily skin. Tried many products but they just did not work as expected. But I am so glad I tried this product. The first 2 months, no more new breakouts. Next 2 months, previous red marks faded significantly. So those struggling with breakouts, give this product a try (4 months) and your skin will be back to normal :) It has done that for me.",,2017-09-17 13:26:56 UTC,
resist-intensive-wrinkle-repair-retinol-serum,published,4,Good product.,Audrey,,"I have been using this retinol treatment for 8 months on alternate nights. Have seen some imrovement in fine lines and skin tone. Quite greasy when applied, however, it gets mostly asborbed. Recommended for those who seek a moderate strength retinol treatment.",,2017-09-19 00:57:10 UTC,
calm-redness-relief-spf-30-moisturizer-normal-to-oily,published,4,Good for breakout-prone skin,Audrey,,"This is by far the best mineral-based moisturizer, next to my all-time favourite Resist Superlight tinted one. I use this when not at work. Feels quite runny at first but it does 'matte' out in a while. What I like is that it doesn't cause breakouts and can easily be applied on anytime & anywhere. It does have a slight whitish tint and stings the eye when sweating. Hopefully PC can develop a mineral-based sunscreen which is more waterproof. Still will recommend this product to others!",,2017-09-19 01:07:07 UTC,
skin-balancing-oil-reducing-cleanser,published,5,Not drying on skin,Audrey,,This is one of the best facial cleanser I've used so far. It doesn't make my skin feel tight or dry after use. A large  bottle sure last for many months...  good for skin.. value for money! Highly recommended. ,,2017-09-19 05:01:38 UTC,
radiance-renewal-whitening-mask,published,5,Great,Ria,,"I have sensitive, oily skin, but this works for me just fine. I use this instead of a moisturizer at night and I wake up with soft, supple skin. It took a while, but I can attest to the brightening effect as well, though I use this together with the whitening essence (which I highly recommend as well). Thumbs up!",,2017-09-28 13:13:09 UTC,
resist-whitening-essence,published,5,Wonderful,Ria,,"Powerhouse ingredients that help with both controlling breakouts and lightening post-breakout marks. Price is rather hefty for 30ml, so I only use it at night, and I wake up with soft, bright, supple skin in the morning! Highly recommended!",,2017-09-28 13:17:48 UTC,
moisture-boost-hydrating-treatment-cream,published,4,like this moisturizer!,Jove,,used this moisturizer for more than a year and it works well! like it!,,2017-10-02 02:34:33 UTC,
resist-vitamin-c-spot-treatment,published,4,Indispensable! ,Anna,,"I love this so much! It's effective in lightening my post acne pigmentation, just that it sometimes stings my skin when I use it too often",,2017-10-02 04:10:29 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,Non-irritating,N,,"I have combination skin that's very prone to breakouts. This helps me keep blackheads and acne under control, and it's gentle enough for me to use twice a day.",,2017-10-03 03:01:02 UTC,
resist-super-light-wrinkle-defense-spf-30,published,5,Simplified my daily routine,N,,"This saves me a couple of steps every morning. I use it as moisturizer, sunscreen and primer. Doesn't feel heavy on my skin and has sheer coverage.",,2017-10-03 03:05:59 UTC,
calm-redness-relief-moisturizer-normal-to-dry,published,4,Effective,N,,"I have a very oily T-zone and dry skin on my chin and neck. I tried the Oily/Combination version, but I found that it wasn't enough for my dry areas. I switched to this and it works much better for me. It's not as heavy as I thought it would be.",,2017-10-03 03:18:22 UTC,
skin-balancing-pore-reducing-toner,published,4,Improved my skin texture,N,,"I used to skip toner completely, thinking that my BHA liquid was enough. I decided to try this and found that it does make a big difference. My skin feels smoother and refreshed. Other products go on more evenly afterwards.",,2017-10-03 03:22:40 UTC,
clear-ultra-light-daily-mattifying-fluid-spf30,published,5,Suitable for oily & acne skin,Sandy Cheong,,I'm in love with the non-sticky formula and it is super comfortable as it's really light weight.,,2017-10-08 13:48:01 UTC,
clear-pore-normalizing-cleanser,published,5,Super satisficing!,Sandy Cheong,,"Initially I just buy this just because my toner about to finish, not really trust its pores-minimizing effect but it did make my pores smaller! so impressed with the results!",,2017-10-08 13:53:53 UTC,
clear-extra-strength-anti-redness-exfoliating-solution,published,5,It works!,Sandy Cheong,,I've done a lot of research regarding this brand and products online and decided to try it after a long struggle between AHA and BHA. Well for the second day of use I felt my pores were tighten and become not that oily. The fourth day I found my blackheads n whiteheads reduce more than 50%. cant wait to see how it can control my acne formation! really worth to buy,,2017-10-08 13:59:36 UTC,
skin-balancing-pore-reducing-toner,published,5,EFFECTIVE,Sandy Cheong,,"Initially buy this just finish my toner about to finish, but using it I realize it really works on reducing pores and balance my oily skin problem. definitely will continue to purchase.",,2017-10-08 14:02:07 UTC,
resist-weightless-toner,published,5,"Lightweight, non-drying",A. Teo,,"Has been using this toner for several ysars, can attest to the advertised results.",,2017-10-12 08:51:17 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,Gentle and Effective,LPW,,This liquid exfoliator really helps to reduce black and whiteheads. It also makes my skin so smooth and radiant without any irritation. Absolutely love it!,,2017-10-17 01:57:18 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,HG exfoliator,D,,"The first chemical exfoliator I tried, and worked like magic! My CC's all but disappeared with 2 weeks of use, and within a month, my skin was the clearest it has been in a long time. It also made my skin tone more even and radiant. It is a little drying, and leaves a mild shine but an oil free moisturiser afterwards solves that. Great product, will definitely be rebuying. ",,2017-10-18 06:13:12 UTC,
skin-perfecting-2-bha-gel,published,5,"works overnight, dries breakouts fast",Gow,,"it doesn't irritate my face at all, and the next morning my skin is shiny and whatever break-outs have dried up and closed. this is really powerful and I highly recommend it to anyone who needs something that actually works.",,2017-10-20 14:54:26 UTC,
skin-perfecting-8-aha-gel,published,5,does what it says,Gowri,,the AHA gel is slightly less drying than the liquid so if you want something gentler you can go for this. It removes the top layer of dead skin cells and there's no irritation. :),,2017-10-20 14:55:51 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,Effective and works fast,Gowri,,Tried this as a sample first. I had no irritation and no dryness as I applied it sparingly. It dried up my breakouts overnight. I've used the gel version and both are equally effective. :),,2017-10-20 15:03:37 UTC,
resist-skin-revealing-body-lotion-10-aha,published,5,So far so good!,Gow,,Got samples of this from a friend. It's definitely eliminated the dry skin I have on my legs if I don't moisturize them enough. my legs are a lot softer and for a longer time! :),,2017-10-20 15:07:24 UTC,
resist-weightless-toner,published,4,Has gentle ingredients,Gow,,this toner has willow bark extract which is said to be really gentle and nourishing for the skin. I've used other products with this extract with great results and this toner didn't disappoint. non-irritating as well.,,2017-10-20 15:11:32 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,Worth to try,Yeelyn,,It works on my clog pore which I had this problem for many years. Never feel irritating for twice a day usage. Will keep continue using!,,2017-10-21 13:07:52 UTC,
resist-anti-aging-clear-skin-hydrator,published,5,"Excellent for oily, acne-prone skin",suan,,"I'm on my second tube of this moisturiser, and I really enjoy it. It goes on smooth, is a great base for makeup, and hydrates skin without making it more greasy. ",,2017-10-25 15:46:20 UTC,
resist-vitamin-c-spot-treatment,published,5,Fantastic product,Jit Furrah,,"I've just ordered my second tube. I have had melasma for years and nothing has worked so far. After I started on 8% aha gel and  niancinamite booster followed by this Vit C spot treatment, the results have been remarkable.  The shadow of my pigmentation is still there although very faint after 2 months of use.  In my opinion for anything to work, it has to be combined with other products like I have did.",,2017-10-28 05:14:13 UTC,
pc4men-body-wash,published,5,Good product.,Isean,,I am using this as my daily shampoo. Agree that some may not like as it's scentless. But it's really good. Not sure why but my scalp was very itchy previously... I've tried many other shampoo.. even organic shampoo but still the itch persist. I switch to use this PC4Men and I realised recently that my scalp isn't itchy anymore. Will buy my second bottle soon. ,,2017-10-28 12:29:54 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,Amazing for congested skin,Fiza,,"I had a very bad breakout from previous skincare. This is the only product that helps to calm my skin and diminished the pimples. Skin is much smoother and pores are smaller. I used it every other night. 3 drops is suffice for my small face, anything more will cause my skin to peel. Now im excited to try the 4% BHA treatment!",,2017-10-30 14:49:42 UTC,
calm-redness-relief-1-bha-lotion,published,5,Amazing,Larry,,"Love the formula and the texture of this products

I was traveling in Europe for a month and this kept my skin problem free and also calms my skin down !",,2017-10-31 05:59:13 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,Effective and worth the price,Mei,,"After 1 month of using it, there is a palpable smooth feeling on my skin. It did unclogged my pores and my acne and pimples problem did improved a lot. Highly recommend it. It's just perfect for daily use.",,2017-10-31 06:34:14 UTC,
resist-anti-aging-clear-skin-hydrator,published,5,Satisfied ,Rainie,,It is quite moisture. I only need to apply a small amount for whole face and moisture last a day long.,,2017-10-31 08:49:18 UTC,
resist-daily-smoothing-treatment-5-aha,published,5,Radiant Complexion,Rainie,,"Is my first try on exfoliant . I like it improves my skin radiant, and smoother my skin",,2017-10-31 09:09:34 UTC,
clear-extra-strength-daily-skin-clearing-treatment-with-5-benzoyl-peroxide,published,5,Effective,Preeti,,This is by far the most effective acne cream that I have used and even combats cystic acne. It is better as a spot treatment for me since I have quite sensitive skin which can be prone to dryness as a result of benzoyl peroxide.,,2017-11-04 07:15:35 UTC,
skin-balancing-ultra-sheer-daily-defense-spf-30,published,4,Better than average ,Gaaya,,Really like the consistency and the sheen it leaves on the skin after application. No reactions. Only wish that the spf was higher for a country like mine. ,,2017-11-12 06:25:49 UTC,
hydralight-one-step-face-cleanser,published,5,LOVE IT ,Gaayatri,,"I have a combination skin. And I've used so many cleansers over the years and always had to switch. My surface skin dries out no matter how mild the cleanser is and causes clogged pores. This cleanser however does a good job of cleaning my skin without drying it out as much. Only issue is that with a combiation skin, my forehead and cheeks continue to get oily faster. I just use a clay mask on these areas once a week to clear hen abit more throughly while keeping the other areas away from too deep a cleanse. Love this product overall. ",,2017-11-12 06:29:51 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,Very effective ,Gaaya,,Little goes a Long way with this product. Once a day with a little all over the face and some massaging for it to abosorb clear away those pesky little clogged pores without any head to burst. Has helped slightly with reducing pore size as well ,,2017-11-12 06:32:40 UTC,
skin-balancing-invisible-finish-moisture-gel,published,4,Best for humid countries,Gaayatri,,Rich moisturisers cause more problems then help in a humid country like mine. This moisturiser is perfect for solving that problem and also keeps the skin oil free through the day. Only thing that could be improve  is the packaging is really small for a daily moisturiser. At least 100ml would be the right size. This product would last less than 3 months if used regularly. ,,2017-11-12 06:42:16 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,5,EFFECTIVE,Steve,,"I was skeptical when first bought this. After few weeks applied, my enlarged pores on the cheek becoming smaller and skin also feel smoother.",,2017-11-13 03:22:24 UTC,
resist-weightless-body-treatment-2-bha,published,5,VERY EFFECTIVE ON KERATOSIS PILARIS,Steve Lee,,"This BHA really does an amazing job on my KP skin, it not only reduce the red bumps on my arms but also smoother the skin. fast absorb, no sticky feel. I'd been using moisture cream recommended by doctor but it never work until I found this.",,2017-11-13 03:28:49 UTC,
all-over-hair-body-shampoo,published,5,Fantastic shampoo for sensitive skin,Megan,,"I’ve used 2 bottles and have 3 backups. That how much i love this. It works wonderfully as a shampoo and body wash. It doesn’t dry my hair and dry skin, feels very clean after.  This is a very clean formula, i love it. The only con is the price, this stuff is quite expensive but i will continue to use it.",,2017-11-13 13:10:46 UTC,
resist-skin-revealing-body-lotion-10-aha,published,5,Another winner,Megan,,"I’m half way through my first tube and i’m already thinking of getting a backup. I love the light but moisturizing formula, with added benefit of 10% aha. Best for normal to dry skin, but may not be enough for extremely parched skin. Its quite pricey hence i only use twice a week. ",,2017-11-13 13:14:34 UTC,
skin-recovery-replenishing-moisturizer,published,5,Great for dry skin ,Megan,,"I’ve been using this for about a month. I use only at night as its too rich for daytime. I have combination skin and i use this at night. Even with airconditioning on all night, the dry areas on my face feels soft the next morning. Will buy again.",,2017-11-13 13:18:22 UTC,
resist-intensive-wrinkle-repair-retinol-serum,published,4,Good nightime serum,Megan,,"This has a sticky consistency, it absorbs after a while. It contains a small amount of retinol, which is good for those sensitive to retinol. I’ve tried the 1% clinical retinol, but its too strong for me. This works well and i like it enough to buy a second bottle. ",,2017-11-13 13:47:29 UTC,
skin-balancing-pore-reducing-toner,published,4,Skin getting healthier,Yeelynt,,"Write this comment when the bottle almost empty. At the beginning using this, my face feel slightly sting & warm, those sign getting lesser after a few times use. But the main thing is my skin get improvement after using this product together with exfoliator. Pores & clogs are reducing! Already ordered a new set with different series and cant wait to use them.",,2017-11-14 06:09:35 UTC,
resist-whitening-essence,published,5,Fantastic,Samantha Ng,,It’s not oily and it’s moisturizing. Feel that my face brightens up now. Not so dull. ,,2017-11-18 10:33:22 UTC,
resist-c15-super-booster,published,5,Worth getting,Samantha Ng,,I got this wif the whitening essence. I use this for night time. It drys up fast n not sticky! Love it. ,,2017-11-18 10:34:58 UTC,
resist-super-antioxidant-concentrate-serum,published,5,I LOVE THIS !!!,SSunnie,,"It makes my face become smoother , even brighten my skin. I love this , especially use this with the resist retinol moisturizer. The results are BRILLIANT !!!",,2017-11-23 02:53:34 UTC,
resist-barrier-repair-moisturizer-with-retinol,published,5,Love this !!!,SSunnies,,"I use this with the super antioxdant serum , i love the result. Although i have oily combination skin, it dosen't feel greasy when i put this on my face.Love This!!!",,2017-11-23 02:56:33 UTC,
skin-perfecting-2-bha-liquid-exfoliator,published,4,30ml Version,Debra,,"The BHA exfoliator is effective in opening clogged pores and works to exfoliate gently. My only gripe with the 30ml bottle is that it leaks, I lost half the bottle to leakage while taking it on travels.
",,2017-11-23 10:53:13 UTC,
resist-daily-pore-refining-treatment-with-2-bha,published,3,Not Effective,Debra,,Didn't do much for me but caused me a bit of eczema. I tried using this like the BHA exfoliator for clogged pores around my jaw line but that didn't work either. ,,2017-11-23 10:56:37 UTC,
resist-foaming-cleanser,published,5,"Excellent, non-stripping cleanser",YC,,This cleanser left my skin feeling smooth and clean without being overly stripped. I don't think it's sufficient to remove make-up however. Would definitely buy again.,,2017-11-24 01:02:25 UTC,
resist-ultra-light-super-antioxidant-concentrate-serum,published,5,Best serum!,YC,,This serum absorbs quickly without leaving a film and my skin feels lovely and soft when I wake up the next day. Absolutely the best!,,2017-11-24 01:29:06 UTC,
resist-foaming-cleanser,published,4,Excellent cleanser,steven,,This cleanser left my skin feel less oily and refresh,,2017-11-24 16:39:37 UTC,
